,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
75,145,ΤΟΣΙΤΣΑ,7,1,9,31,"ΤΟΣΙΤΣΑ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.63860975730985,22.944182415742542
76,147,ΤΑΣΚΟΥ ΠΑΠΑΓΕΩΡΓΙΟΥ,3,1,5,36,"ΤΑΣΚΟΥ ΠΑΠΑΓΕΩΡΓΙΟΥ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.63929664651594,22.9450386808456
77,149,ΑΜΥΝΤΑ,10,2,18,40,"ΑΜΥΝΤΑ 10, ΘΕΣΣΑΛΟΝΙΚΗ",40.636829703144734,22.94753264168043
78,151,ΠΕΛΟΠΟΝΝΗΣΟΥ,7,1,11,32,"ΠΕΛΟΠΟΝΝΗΣΟΥ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.63770282231759,22.94812234197955
79,154,ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΑΒΔΕΛΛΑ,5,1,9,31,"ΣΥΝΤΑΓΜΑΤΑΡΧΟΥ ΑΒΔΕΛΛΑ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.636070240043786,22.949211489531564
80,157,ΛΕΩΝΙΔΑ ΙΑΣΩΝΙΔΟΥ,9,7,13,41,"ΛΕΩΝΙΔΑ ΙΑΣΩΝΙΔΟΥ 9, ΘΕΣΣΑΛΟΝΙΚΗ",40.63404925363071,22.950447526499826
81,159,ΛΕΩΝΙΔΑ ΙΑΣΩΝΙΔΟΥ,18,10,24,35,"ΛΕΩΝΙΔΑ ΙΑΣΩΝΙΔΟΥ 18, ΘΕΣΣΑΛΟΝΙΚΗ",40.63525190954517,22.95012862928821
82,162,ΛΕΩΝΙΔΑ ΙΑΣΩΝΙΔΟΥ,35,29,41,18,"ΛΕΩΝΙΔΑ ΙΑΣΩΝΙΔΟΥ 35, ΘΕΣΣΑΛΟΝΙΚΗ",40.63725386905559,22.94946446352678
83,163,ΝΙΚ. ΣΚΛΑΒΟΥ,3,1,5,12,"ΝΙΚ. ΣΚΛΑΒΟΥ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.63502003170234,22.95059421475261
84,166,ΜΑΝΩΛΑΚΗ ΚΥΡΙΑΚΟΥ,4,2,8,22,"ΜΑΝΩΛΑΚΗ ΚΥΡΙΑΚΟΥ 4, ΘΕΣΣΑΛΟΝΙΚΗ",40.63438893914491,22.952994951520186
